address,time_stamp,user,collateral,debt,n1,n2,liquidation_discount,transaction_hash
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 12:05:23,0x17e6cb1ed2ba6e3449b67ad95e1fb4b4c8c1b6e4,14391485080732234500,15000000000000000000000,44,53,60000000000000000,0x8fe14ed2fd2439e13d05cc2011e25171ac81064df6d03349d071c9b949ecf067
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 15:22:11,0x4cfd3509c1fe601914aa01e34a16b5c9d41f8f55,44177324858884589543,25000000000000000000000,104,113,60000000000000000,0x284da9219cfa555e92ecbff805501f2790a4e5cfa8f45c80785732e11ff0aa64
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 19:55:23,0xc343231ed2e07ff9b194c4f7f7c7d2733d537f4c,19040093668065944,31515290342655359449,-2,7,60000000000000000,0x59f2e72ce33a25fecd6a174e6d926ddec95bf59476fdd36a61c52053a049833f
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 20:04:11,0xc343231ed2e07ff9b194c4f7f7c7d2733d537f4c,19040093668065941,31515307566824822940,-2,7,60000000000000000,0x3e1cad468af3f576735f6e757e161faade9c982e1bd377c89666e9cdf3d3c4a9
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-23 23:21:23,0x108e4f1486bb38b60629ab570d82bf5420181217,1318426575208908256,1750000000000000000000,19,28,60000000000000000,0x0bd9656905dbf8be66dd1650fed7f7bcb80c233d49cb9cfc0b447f5ae86028a8
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 00:06:23,0xc7719ed61cc102cc0472e3739055b07857ed2dc2,0,0,0,0,0,0x83038096e412c1c567be0ef39fc4ccd26930d05bb84fdaf00d3670ae07a6f042
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 00:28:35,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5951783342382399311,5655460510996752340080,50,64,60000000000000000,0xbcbb5fbdaadcf0209551dfd4981c9a20349db759bd1ccb6a548430168c7bc0dc
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 00:32:11,0xd0c096ac82eba8d7a26f96ffc34b4e3bba3a1122,5001783342382399311,5655461759448161778722,33,47,60000000000000000,0x40f55795453a5ea3ec2891ec3119dcd87e76888322b07d643f679ecf8f39d924
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 00:49:11,0x7aaee144a14ec3ba0e468c9dcf4a89fdb62c5aa6,24656912029001471839,30000000000000000000000,28,37,60000000000000000,0x1974880dad59bd090cd73abb8fe308c24f4ca0275860fd1051eb95f23d9216f7
0x8472a9a7632b173c8cf3a86d3afec50c35548e76,2023-05-24 04:33:11,0xb221963cad5856c657647d7126a6fe6a47cac773,29977383422098943864,26528897289160780288546,62,66,60000000000000000,0x6af199a21c3630eec334d65349acc9147db53be65004cd1dc69a892b439b5f57
